date,away_team,away_pts,home_team,home_pts,ot,attendees,arena,link
2022-02-06 06:00:00,Boston Celtics,116,Orlando Magic,83,0,14402,Amway Center,/boxscores/202202060ORL.html
2022-02-06 07:00:00,New Orleans Pelicans,120,Houston Rockets,107,0,15702,Toyota Center,/boxscores/202202060HOU.html
2022-02-06 09:00:00,Milwaukee Bucks,137,Los Angeles Clippers,113,0,17395,Crypto.com Arena,/boxscores/202202060LAC.html
2022-02-07 07:00:00,Toronto Raptors,116,Charlotte Hornets,101,0,14102,Spectrum Center,/boxscores/202202070CHO.html
2022-02-07 07:00:00,Miami Heat,121,Washington Wizards,100,0,14222,Capital One Arena,/boxscores/202202070WAS.html
2022-02-07 08:00:00,Phoenix Suns,127,Chicago Bulls,124,0,20615,United Center,/boxscores/202202070CHI.html
2022-02-07 08:00:00,Golden State Warriors,110,Oklahoma City Thunder,98,0,17009,Paycom Center,/boxscores/202202070OKC.html
2022-02-07 09:00:00,New York Knicks,104,Utah Jazz,113,0,18306,Vivint Smart Home Arena,/boxscores/202202070UTA.html
2022-02-08 07:00:00,Phoenix Suns,114,Philadelphia 76ers,109,0,20720,Wells Fargo Center,/boxscores/202202080PHI.html
2022-02-08 07:30:00,Indiana Pacers,112,Atlanta Hawks,133,0,14265,State Farm Arena,/boxscores/202202080ATL.html
2022-02-08 07:30:00,Boston Celtics,126,Brooklyn Nets,91,0,17732,Barclays Center,/boxscores/202202080BRK.html
2022-02-08 08:00:00,Los Angeles Clippers,109,Memphis Grizzlies,135,0,16101,FedEx Forum,/boxscores/202202080MEM.html
2022-02-08 08:00:00,Houston Rockets,97,New Orleans Pelicans,110,0,15121,Smoothie King Center,/boxscores/202202080NOP.html
2022-02-08 08:30:00,Detroit Pistons,86,Dallas Mavericks,116,0,19200,American Airlines Center,/boxscores/202202080DAL.html
2022-02-08 09:00:00,New York Knicks,115,Denver Nuggets,132,0,15093,Ball Arena,/boxscores/202202080DEN.html
2022-02-08 10:00:00,Milwaukee Bucks,131,Los Angeles Lakers,116,0,18997,Crypto.com Arena,/boxscores/202202080LAL.html
2022-02-08 10:00:00,Orlando Magic,113,Portland Trail Blazers,95,0,16024,Moda Center,/boxscores/202202080POR.html
2022-02-08 10:00:00,Minnesota Timberwolves,134,Sacramento Kings,114,0,12409,Golden 1 Center,/boxscores/202202080SAC.html
2022-02-09 07:00:00,San Antonio Spurs,92,Cleveland Cavaliers,105,0,19432,Rocket Mortgage Fieldhouse,/boxscores/202202090CLE.html
2022-02-09 07:30:00,Chicago Bulls,121,Charlotte Hornets,109,0,19099,Spectrum Center,/boxscores/202202090CHO.html
2022-02-09 08:00:00,Toronto Raptors,117,Oklahoma City Thunder,98,0,13858,Paycom Center,/boxscores/202202090OKC.html
2022-02-09 10:00:00,Los Angeles Lakers,105,Portland Trail Blazers,107,0,19393,Moda Center,/boxscores/202202090POR.html
2022-02-09 10:00:00,Minnesota Timberwolves,119,Sacramento Kings,132,0,12527,Golden 1 Center,/boxscores/202202090SAC.html
2022-02-09 10:00:00,Golden State Warriors,85,Utah Jazz,111,0,18306,Vivint Smart Home Arena,/boxscores/202202090UTA.html
2022-02-10 07:00:00,Memphis Grizzlies,132,Detroit Pistons,107,0,18744,Little Caesars Arena,/boxscores/202202100DET.html
2022-02-10 07:30:00,Miami Heat,112,New Orleans Pelicans,97,0,16672,Smoothie King Center,/boxscores/202202100NOP.html
2022-02-10 07:30:00,Brooklyn Nets,112,Washington Wizards,113,0,15204,Capital One Arena,/boxscores/202202100WAS.html
2022-02-10 08:00:00,Toronto Raptors,139,Houston Rockets,120,0,16129,Toyota Center,/boxscores/202202100HOU.html
2022-02-10 08:30:00,Los Angeles Clippers,105,Dallas Mavericks,112,0,19532,American Airlines Center,/boxscores/202202100DAL.html
2022-02-10 10:00:00,New York Knicks,116,Golden State Warriors,114,0,18064,Chase Center,/boxscores/202202100GSW.html
2022-02-10 10:00:00,Milwaukee Bucks,107,Phoenix Suns,131,0,17071,Phoenix Suns Arena,/boxscores/202202100PHO.html
2022-02-11 07:00:00,Charlotte Hornets,141,Detroit Pistons,119,0,20088,Little Caesars Arena,/boxscores/202202110DET.html
2022-02-11 07:00:00,Cleveland Cavaliers,120,Indiana Pacers,113,0,15075,Gainbridge Fieldhouse,/boxscores/202202110IND.html
2022-02-11 07:00:00,Oklahoma City Thunder,87,Philadelphia 76ers,100,0,20669,Wells Fargo Center,/boxscores/202202110PHI.html
2022-02-11 07:30:00,San Antonio Spurs,136,Atlanta Hawks,121,0,17234,State Farm Arena,/boxscores/202202110ATL.html
2022-02-11 07:30:00,Denver Nuggets,102,Boston Celtics,108,0,19156,TD Garden,/boxscores/202202110BOS.html
2022-02-11 08:00:00,Minnesota Timberwolves,122,Chicago Bulls,134,0,20092,United Center,/boxscores/202202110CHI.html
2022-02-11 09:00:00,Orlando Magic,99,Utah Jazz,114,0,18306,Vivint Smart Home Arena,/boxscores/202202110UTA.html
2022-02-12 05:00:00,New York Knicks,103,Portland Trail Blazers,112,0,18521,Moda Center,/boxscores/202202120POR.html
2022-02-12 07:00:00,Memphis Grizzlies,125,Charlotte Hornets,118,0,19454,Spectrum Center,/boxscores/202202120CHO.html
2022-02-12 07:00:00,San Antonio Spurs,124,New Orleans Pelicans,114,0,16615,Smoothie King Center,/boxscores/202202120NOP.html
2022-02-12 07:00:00,Sacramento Kings,123,Washington Wizards,110,0,14169,Capital One Arena,/boxscores/202202120WAS.html
2022-02-12 07:30:00,Cleveland Cavaliers,93,Philadelphia 76ers,103,0,21057,Wells Fargo Center,/boxscores/202202120PHI.html
2022-02-12 07:30:00,Denver Nuggets,110,Toronto Raptors,109,0,0,Scotiabank Arena,/boxscores/202202120TOR.html
2022-02-12 08:00:00,Oklahoma City Thunder,101,Chicago Bulls,106,0,20072,United Center,/boxscores/202202120CHI.html
2022-02-12 08:00:00,Brooklyn Nets,111,Miami Heat,115,0,19600,FTX Arena,/boxscores/202202120MIA.html
2022-02-12 08:30:00,Los Angeles Clippers,99,Dallas Mavericks,97,0,20028,American Airlines Center,/boxscores/202202120DAL.html
